用户编码,姓名,经历序号,起始时间（YYYY-MM-DD）,终止时间（（YYYY-MM-DD））,是否全国性组织,是否中央派出,一级关键词编码,地方一级关键词,二级关键词编码,地方二级关键词,地区级别,录入信息备注,地方三级关键词,基本大类别,职务一级关键词编码,职务一级关键词,录入信息备注,职务二级关键词,职务三级关键词,具体职务,级别,标志位,学历,序号
2,雷建国,4,10/1/1975,11/1/1976,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,政府_国务院,2908,工交办公室,,,,办事员,小于副处,无,高中,4
2,雷建国,5,11/1/1976,4/1/1978,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,政府_国务院,2719,工业厅/局（地方）,,,,副书记,小于副处,无,高中,5
2,雷建国,6,4/1/1978,6/1/1982,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,政府_国务院,2719,工业厅/局（地方）,,,,副局长,小于副处,无,高中,6
2,雷建国,7,6/1/1982,9/1/1983,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,共青团,4600,共青团委,,,,团委书记,副处,无,高中,7
2,雷建国,8,9/1/1983,6/1/1985,是,否,840000,中央,,,,,,学校,80013,团校（中央/地方）,,,,学生,副处,学校,专科,8
2,雷建国,9,6/1/1985,4/1/1987,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,党委,1303,宣传部（党委）,,,,部长,副处,无,专科,9
2,雷建国,10,4/1/1987,11/1/1988,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,党委,1300,党委常委会/政治局 ,,,,常委,副处,无,专科,10
2,雷建国,11,11/1/1988,3/1/1990,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,党委,1300,党委常委会/政治局 ,,,,副书记,副处,无,专科,11
2,雷建国,12,3/1/1990,5/1/1991,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,党委,1300,党委常委会/政治局 ,,,,副书记/纪委书记,副处,无,专科,12
2,雷建国,13,5/1/1991,11/1/1992,否,否,370000,山东省,370100,济南市,副省级城市,,长清县,党委,1300,党委常委会/政治局 ,,,,副书记,正处,无,专科,13
2,雷建国,14,11/1/1992,1/1/1995,否,否,370000,山东省,370100,济南市,副省级城市,,长清县,政府_国务院,2600,政府/国务院（综合）,,,,县长、副书记,正处,无,专科,14
2,雷建国,15,1/1/1995,12/1/1997,否,否,370000,山东省,370100,济南市,副省级城市,,长清县,党委,1300,党委常委会/政治局 ,,,,书记,正处,无,专科,15
2,雷建国,16,7/1/1995,2/1/1997,是,否,370000,山东省,,,,,,学校,80248,山东省委党校,,在职研究生班,,学员,正处,学校,硕士,16
2,雷建国,17,12/1/1997,3/1/2007,否,否,370000,山东省,370100,济南市,副省级城市,,,党委,1300,党委常委会/政治局 ,,,,副书记,正厅,市委副书记（专职）,硕士,17
2,雷建国,18,3/1/2007,1/1/2011,否,否,370000,山东省,371400,德州市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记/主任,正厅,市委书记,硕士,18
2,雷建国,19,1/1/2011,3/1/2012,否,否,370000,山东省,370100,济南市,副省级城市,,,人大,1000,人大常委会,,,,主任,副部,无,硕士,19
2,雷建国,20,1/1/2012,6/1/2015,否,否,370000,山东省,,,,,,党委,1300,党委常委会/政治局 ,,,,秘书长,副部,秘书,硕士,20
2,雷建国,21,1/1/2012,6/1/2015,否,否,370000,山东省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,硕士,21
2,雷建国,22,1/1/2015,7/1/2015,否,否,370000,山东省,,,,,,政协,1100,政协常委会,,,,副主席,副部,无,硕士,22
3,黄胜,1,11/1/1972,8/1/1975,是,否,840000,中央,,,,,,军队,7001,总参谋部,,十三测绘大队,,战士,无级别,无,高中,1
3,黄胜,2,8/1/1975,10/1/1976,是,否,410000,河南省,410100,郑州市,地级市（区）,,,学校,41002,解放军测绘学院,,,,学员,无级别,学校,专科,2
3,黄胜,3,10/1/1976,2/1/1979,是,否,840000,中央,,,,,,军队,7008,济南军区,,测绘大队,,测绘员,小于副处,无,专科,3
3,黄胜,4,2/1/1979,9/1/1979,是,否,370000,山东省,370700,潍坊市,地级市（区）,,,学校,80006,潍坊二中,,团委,,干部,小于副处,学校,专科,4
3,黄胜,5,9/1/1979,7/1/1983,是,否,370000,山东省,370800,济宁市,地级市（区）,,曲阜市,学校,80243,曲阜师范大学,,,,学生,无级别,学校,本科,5
3,黄胜,6,7/1/1983,5/1/1984,是,否,370000,山东省,370800,济宁市,地级市（区）,,曲阜市,学校,80243,曲阜师范大学,,团委,,副书记,副处,学校,本科,6
3,黄胜,7,5/1/1984,7/1/1987,否,否,370000,山东省,,,,,,党委,1301,党委办公厅 /室,,秘书处,,秘书,副处,秘书,本科,7
3,黄胜,8,7/1/1987,6/1/1988,否,否,370000,山东省,,,,,,党委,1301,党委办公厅 /室,,秘书处,,秘书,正处,秘书,本科,8
3,黄胜,9,6/1/1988,4/1/1989,否,否,370000,山东省,,,,,,政府_国务院,2662,政府/国务院办公厅,,综合二室,,副主任,正处,秘书,本科,9
3,黄胜,10,4/1/1989,6/1/1991,否,否,370000,山东省,,,,,,政府_国务院,2662,政府/国务院办公厅,,综合一室,,主任,正处,秘书,本科,10
3,黄胜,11,6/1/1991,6/1/1993,否,否,370000,山东省,,,,,,政府_国务院,2662,政府/国务院办公厅,,,,副主任,副厅,秘书,本科,11
3,黄胜,12,6/1/1993,8/1/1995,否,否,370000,山东省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副秘书长,正厅,秘书,本科,12
3,黄胜,13,9/1/1994,7/1/1997,是,否,340000,安徽省,340100,合肥市,地级市（区）,,,学校,80796,中国科技大学,,业余研究生班,经济管理专业,学员,正厅,学校,硕士,13
3,黄胜,14,8/1/1995,3/1/1996,否,否,370000,山东省,371400,德州市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,代市长,正厅,市长,硕士,14
3,黄胜,15,3/1/1996,1/1/2001,否,否,370000,山东省,371400,德州市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,副书记/市长,正厅,市长,硕士,15
3,黄胜,16,1/1/2001,3/1/2007,否,否,370000,山东省,371400,德州市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,16
3,黄胜,17,3/1/2007,12/1/2011,否,否,370000,山东省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副省长,副部,副省长（非常委）,硕士,17
4,吴翠云,1,12/1/1975,9/1/1976,否,否,370000,山东省,370300,淄博市,地级市（区）,,周村区,基层组织,3749,农业学大寨工作队,,,,队员,小于副处,无,高中,1
4,吴翠云,2,9/1/1976,9/1/1983,否,否,370000,山东省,370300,淄博市,地级市（区）,,周村区,党委,1300,党委常委会/政治局 ,,,,常委,小于副处,无,高中,2
4,吴翠云,3,10/1/1981,6/1/1983,是,否,370000,山东省,,,,,,学校,37012,山东农业大学,,专业干部专修科,,学员,小于副处,学校,专科,3
4,吴翠云,4,9/1/1983,3/1/1984,否,否,370000,山东省,370300,淄博市,地级市（区）,,周村区,共青团,4600,共青团委,,,,区委副书记,小于副处,无,专科,4
4,吴翠云,5,3/1/1984,3/1/1988,否,否,370000,山东省,370300,淄博市,地级市（区）,,周村区,党委,1300,党委常委会/政治局 ,,,,常委/书记,副处,无,专科,5
4,吴翠云,6,3/1/1988,2/1/1990,否,否,370000,山东省,370300,淄博市,地级市（区）,,周村区,党委,1303,宣传部（党委）,,,,常委/宣传部部长,副处,无,专科,6
4,吴翠云,7,2/1/1990,4/1/1993,否,否,370000,山东省,370300,淄博市,地级市（区）,,周村区,政府_国务院,2600,政府/国务院（综合）,,,,副区长,副处,无,专科,7
4,吴翠云,8,9/1/1992,7/1/1993,是,否,840000,中央,,,,,,学校,80001,中央党校,,青干班,,学员,副处,学校,专科,8
4,吴翠云,9,4/1/1993,12/1/1997,否,否,370000,山东省,370300,淄博市,地级市（区）,,,共青团,4600,共青团委,,,,书记,正处,无,专科,9
4,吴翠云,10,9/1/1993,1/1/1996,是,否,840000,中央,,,,,,学校,80001,中央党校,,在职研究生班,法律系,学员,正处,学校,硕士,10
4,吴翠云,11,12/1/1997,3/1/1998,否,否,370000,山东省,370300,淄博市,地级市（区）,,,共青团,4600,共青团委,,,,常委/书记,副厅,无,硕士,11
4,吴翠云,12,3/1/1998,6/1/2004,否,否,370000,山东省,370300,淄博市,地级市（区）,,,行业协会_人民团体,6600,总工会,,,,常委/书记,副厅,无,硕士,12
4,吴翠云,13,6/1/2004,2/1/2006,否,否,370000,山东省,370300,淄博市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,常委,副厅,市常委（其他）,硕士,13
4,吴翠云,14,2/1/2006,1/1/2011,否,否,370000,山东省,371400,德州市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,硕士,14
4,吴翠云,15,1/1/2011,6/1/2015,否,否,370000,山东省,371400,德州市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,15
4,吴翠云,16,1/1/2011,6/1/2015,否,否,370000,山东省,371400,德州市,地级市（区）,,,人大,1000,人大常委会,,,,主任,正厅,无,硕士,16
4,吴翠云,17,1/1/2011,6/1/2015,是,否,370000,山东省,371400,德州市,地级市（区）,,,军队,7081,军分区,,党委,,第一书记,正厅,军队,硕士,17
4,吴翠云,18,6/1/2015,7/1/2015,否,否,370000,山东省,371400,德州市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,副部,市委书记,硕士,18
4,吴翠云,19,6/1/2015,7/1/2015,否,否,370000,山东省,371400,德州市,地级市（区）,,,人大,1000,人大常委会,,,,主任,副部,无,硕士,19
4,吴翠云,20,6/1/2015,7/1/2015,是,否,370000,山东省,371400,德州市,地级市（区）,,,军队,7081,军分区,,党委,,第一书记,副部,军队,硕士,20
4,吴翠云,21,6/1/2015,7/1/2015,否,否,370000,山东省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,硕士,21
4,吴翠云,22,6/1/2015,7/1/2015,否,否,370000,山东省,,,,,,党委,1304,统战部（党委）,,,,部长,副部,省常委（其他）,硕士,22
5,陈先运,1,9/1/1979,7/1/1983,是,否,370000,山东省,,,,,,学校,37004,山东省农业机械化学院,,动力系,汽车设计与制造专业,学生,无级别,学校,本科,1
5,陈先运,2,7/1/1983,3/1/1984,否,否,370000,山东省,370100,济南市,副省级城市,,,地方企业,5601,济南市第三运输公司,,,,秘书,无级别,秘书,本科,2
5,陈先运,3,3/1/1984,7/1/1985,否,否,370000,山东省,370100,济南市,副省级城市,,,地方企业,5601,济南市第三运输公司,,二场工会,,主席,无级别,无,本科,3
5,陈先运,4,7/1/1985,7/1/1986,否,否,370000,山东省,370100,济南市,副省级城市,,,党委,1302,组织部 （党委）,,组织部,,帮助工作,无级别,无,本科,4
5,陈先运,5,7/1/1986,1/1/1988,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,政工科,,科员,小于副处,无,本科,5
5,陈先运,6,1/1/1988,4/1/1990,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,人教处,,主任科员,小于副处,无,本科,6
5,陈先运,7,4/1/1990,5/1/1992,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,机关党委,,组织员,副处,无,本科,7
5,陈先运,8,5/1/1992,6/1/1993,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,人教处,,副处长,副处,无,本科,8
5,陈先运,9,6/1/1993,10/1/1993,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,人教处,,处长,正处,无,本科,9
5,陈先运,10,10/1/1993,6/1/1996,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,人教处/机关党委,,处长/副书记,正处,无,本科,10
5,陈先运,11,6/1/1996,9/1/2000,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2606,科学技术部/厅/局（科学技术委员会）,,,,副主任,正处,无,本科,11
5,陈先运,12,9/1/1996,9/1/2000,是,否,370000,山东省,,,,,,学校,37001,山东大学,,历史文化学院,中国近代史专业,学员,正处,学校,硕士,12
5,陈先运,13,8/1/1997,12/1/1999,否,否,370000,山东省,370100,济南市,副省级城市,,济阳县,政府_国务院,2600,政府/国务院（综合）,,,,副县长,正处,无,硕士,13
5,陈先运,14,3/1/2000,9/1/2000,否,否,370000,山东省,370100,济南市,副省级城市,,历城区,党委,1300,党委常委会/政治局 ,,,,副书记,正处,无,硕士,14
5,陈先运,15,9/1/2000,12/1/2002,否,否,370000,山东省,370100,济南市,副省级城市,,章丘市,政府_国务院,2600,政府/国务院（综合）,,,,副书记/县长,正处,无,硕士,15
5,陈先运,16,9/1/2002,4/1/2006,是,否,110000,北京市,,,,,,学校,11009,北京交通大学,,经济管理学院,产业经济专业,学员,正处,学校,博士,16
5,陈先运,17,12/1/2002,11/1/2004,否,否,370000,山东省,370100,济南市,副省级城市,,章丘市,党委,1300,党委常委会/政治局 ,,,,书记,正处,无,博士,17
5,陈先运,18,11/1/2004,4/1/2007,否,否,370000,山东省,370100,济南市,副省级城市,,章丘市,党委,1300,党委常委会/政治局 ,,,,书记,副厅,无,博士,18
5,陈先运,19,4/1/2007,1/1/2008,否,否,370000,山东省,370100,济南市,副省级城市,,章丘市,党委,1300,党委常委会/政治局 ,,,,书记,正厅,无,博士,19
5,陈先运,20,4/1/2007,1/1/2011,否,否,370000,山东省,370100,济南市,副省级城市,,,党委,1300,党委常委会/政治局 ,,,,常委,正厅,市常委（其他）,博士,20
5,陈先运,21,1/1/2008,1/1/2011,否,否,370000,山东省,370100,济南市,副省级城市,,,政府_国务院,2600,政府/国务院（综合）,,,,副市长,正厅,副市长（常委）,博士,21
5,陈先运,22,1/1/2011,2/1/2013,否,否,370000,山东省,371400,德州市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,博士,22
5,陈先运,23,2/1/2013,2/1/2015,否,否,370000,山东省,371300,临沂市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,博士,23
5,陈先运,24,2/1/2015,4/1/2015,否,否,370000,山东省,,,,,,政府_国务院,2611,民政部/厅/局,,党组,,书记,正厅,无,博士,24
5,陈先运,25,4/1/2015,7/1/2015,否,否,370000,山东省,,,,,,政府_国务院,2611,民政部/厅/局,,,,厅长,正厅,无,博士,25
6,郭兆信,1,10/1/1970,2/1/1972,是,否,370000,山东省,371300,临沂市,地级市（区）,,平邑县,学校,80007,柏林村小学,,,,民办教师,无级别,学校,高中,1
6,郭兆信,2,2/1/1972,8/1/1975,否,否,370000,山东省,371300,临沂市,地级市（区）,,平邑县,基层组织,3658,东阳公社,,教育组,,工作,无级别,无,高中,2
6,郭兆信,3,8/1/1975,12/1/1980,否,否,370000,山东省,371300,临沂市,地级市（区）,,平邑县,党委,1303,宣传部（党委）,,,,理论教员/秘书,小于副处,秘书,高中,3
6,郭兆信,4,12/1/1980,9/1/1981,否,否,370000,山东省,371300,临沂市,地级市（区）,,平邑县,党委,1300,党委常委会/政治局 ,,,,委员,小于副处,无,高中,4
6,郭兆信,5,9/1/1981,7/1/1983,是,否,370000,山东省,,,,,,学校,37001,山东大学,,科社系,干部专修科,学员,小于副处,学校,本科,5
6,郭兆信,6,7/1/1983,2/1/1984,否,否,370000,山东省,371300,临沂市,地级市（区）,,平邑县,党委,1301,党委办公厅 /室,,,,帮助工作,小于副处,秘书,本科,6
6,郭兆信,7,2/1/1984,4/1/1985,否,否,370000,山东省,371300,临沂市,地级市（区）,,平邑县,党委,1301,党委办公厅 /室,,,,主任,小于副处,秘书,本科,7
6,郭兆信,8,4/1/1985,1/1/1989,否,否,370000,山东省,,,,,,党委,1302,组织部 （党委）,,,组织处,副处级巡视员,副处,无,本科,8
6,郭兆信,9,1/1/1989,11/1/1992,否,否,370000,山东省,,,,,,党委,1302,组织部 （党委）,,,组织处,副处长,副处,无,本科,9
6,郭兆信,10,11/1/1992,11/1/1996,否,否,370000,山东省,,,,,,党委,1302,组织部 （党委）,,,组织处,处长,正处,无,本科,10
6,郭兆信,11,8/1/1995,11/1/1996,否,否,370000,山东省,,,,,,党委,1302,组织部 （党委）,,,,副部级巡视员,副厅,无,本科,11
6,郭兆信,12,10/1/1995,11/1/1996,否,否,370000,山东省,371400,德州市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,副书记,副厅,市委副书记（专职）,本科,12
6,郭兆信,13,11/1/1996,12/1/1997,否,否,370000,山东省,371500,聊城市,地级市（区）,,,党委,1302,组织部 （党委）,,,,部长,副厅,市组织部长,本科,13
6,郭兆信,14,11/1/1996,1/1/2001,否,否,370000,山东省,371500,聊城市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,副书记,副厅,市委副书记（专职）,本科,14
6,郭兆信,15,12/1/1996,11/1/1998,是,否,840000,中央,,,,,,学校,80012,社科院,,研究生班课程,商业经济学专业,学生,副厅,学校,硕士,15
6,郭兆信,16,3/1/1998,1/1/2001,否,否,370000,山东省,371500,聊城市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,硕士,16
6,郭兆信,17,1/1/2001,3/1/2007,否,否,370000,山东省,371500,聊城市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,17
6,郭兆信,18,4/1/2001,3/1/2007,是,否,370000,山东省,371500,聊城市,地级市（区）,,,学校,81872,山东省聊城市委党校,,,,校长,正厅,学校,硕士,18
6,郭兆信,19,3/1/2007,12/25/2011,否,否,370000,山东省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,副省长,副部,副省长（非常委）,硕士,19
6,郭兆信,20,5/1/2011,11/1/2011,否,否,370000,山东省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,党组书记,副部,无,硕士,20
6,郭兆信,21,1/1/2012,12/1/2014,否,否,370000,山东省,,,,,,政府_国务院,2600,政府/国务院（综合）,,,,特邀咨询,副部,无,硕士,21
7,宋远方,1,1/1/1975,2/1/1978,否,否,130000,河北省,130500,邢台市,地级市（区）,,隆尧县,基层组织,3510,魏庄公社,,,,知青,无级别,无,高中,1
7,宋远方,2,2/1/1978,1/1/1982,是,否,370000,山东省,,,,,,学校,37013,山东矿业学院,,矿山建筑系,矿山建设专业,学生,无级别,学校,本科,2
7,宋远方,3,1/1/1982,5/1/1983,是,否,840000,中央,,,,,,政府_国务院,2629,煤炭工业部 /厅/局,,第一建设公司,第三十一工程处、矿井施工组织研究所,技术员,无级别,无,本科,3
7,宋远方,4,5/1/1983,2/1/1987,是,否,840000,中央,,,,,,政府_国务院,2629,煤炭工业部 /厅/局,,第一建设公司,矿井施工组织研究所,助理工程师,无级别,无,本科,4
7,宋远方,5,9/1/1983,7/1/1987,是,否,370000,山东省,,,,,,学校,37013,山东矿业学院,,矿山建筑系,矿山系统工程专业,学生,无级别,学校,硕士,5
7,宋远方,6,2/1/1987,12/1/1988,是,否,130000,河北省,,,,,,学校,13003,河北煤炭建筑工程学院,,施工组织研究所,,工程师,无级别,学校,硕士,6
7,宋远方,7,12/1/1988,2/1/1992,是,否,370000,山东省,370200,青岛市,副省级城市,,,学校,37007,青岛建筑工程学院,,管理工程系,,讲师,无级别,学校,硕士,7
7,宋远方,8,2/1/1992,9/1/1992,是,否,370000,山东省,370200,青岛市,副省级城市,,,学校,37007,青岛建筑工程学院,,管理工程系,,副主任,小于副处,学校,硕士,8
7,宋远方,9,9/1/1992,7/1/1995,是,否,610000,陕西省,610100,西安市,副省级城市,,,学校,61001,西安交通大学,,管理工程系,管理工程专业,学生,无级别,学校,博士,9
7,宋远方,10,7/1/1995,8/1/1996,是,否,830200,加拿大,,,,,,学校,71005,瑞尔松理工大学,,,,博士后,无级别,学校,博士,10
7,宋远方,11,8/1/1996,1/1/1998,是,否,840000,中央,,,,,,政府_国务院,2647,民用航空局,,计划司,投资处,处理协调员,小于副处,无,博士,11
7,宋远方,12,1/1/1998,6/1/2000,否,否,370000,山东省,370200,青岛市,副省级城市,,,政府_国务院,2603,发展改革/计划委员会,,,,副主任,正处,无,博士,12
7,宋远方,13,1/1/1998,6/1/2000,否,否,370000,山东省,370200,青岛市,副省级城市,,,政府_国务院,2720,空港建设指挥部,,,,副指挥,正处,无,博士,13
7,宋远方,14,6/1/2000,1/1/2002,否,否,370000,山东省,,,,,,政府_国务院,2640,商务部/厅/局,,,,副厅长,副厅,无,博士,14
7,宋远方,15,1/1/2002,3/1/2002,否,否,370000,山东省,,,,,,政府_国务院,2640,商务部/厅/局,,,,副厅长/党组副书记,正厅,无,博士,15
7,宋远方,16,3/1/2002,4/1/2002,否,否,370000,山东省,371000,威海市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,代市长,正厅,市长,博士,16
7,宋远方,17,4/1/2002,3/1/2007,否,否,370000,山东省,371000,威海市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,博士,17
7,宋远方,18,3/1/2007,3/1/2013,否,否,370000,山东省,371500,聊城市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,博士,18
7,宋远方,19,2/1/2013,7/1/2015,否,否,370000,山东省,,,,,,人大,1000,人大常委会,,,,副主任,副部,无,博士,19
8,张秋波,1,12/1/1974,6/1/1975,否,否,370000,山东省,370600,烟台市,地级市（区）,,莱州市,党委,1343,党委工作队,,,,副组长,小于副处,无,高中,1
8,张秋波,2,6/1/1975,1/1/1979,否,否,370000,山东省,370600,烟台市,地级市（区）,,莱州市,共青团,4600,共青团委,,,,团委秘书,小于副处,秘书,高中,2
8,张秋波,3,6/1/1975,1/1/1979,否,否,370000,山东省,370600,烟台市,地级市（区）,,莱州市,党委,1302,组织部 （党委）,,,,干事,小于副处,无,高中,3
8,张秋波,4,1/1/1979,1/1/1983,否,否,370000,山东省,370600,烟台市,地级市（区）,,,共青团,4603,宣传部（共青团）,,,,部长,小于副处,无,高中,4
8,张秋波,5,1/1/1983,9/1/1984,否,否,370000,山东省,370600,烟台市,地级市（区）,,,共青团,4600,共青团委,,,,团委副书记,副处,无,高中,5
8,张秋波,6,9/1/1984,9/1/1986,否,否,370000,山东省,370600,烟台市,地级市（区）,,,共青团,4600,共青团委,,,,团委书记,正处,无,高中,6
8,张秋波,7,9/1/1984,9/1/1986,否,否,370000,山东省,370600,烟台市,地级市（区）,,,共青团,4604,青年联合会,,,,主席,正处,无,高中,7
8,张秋波,8,9/1/1986,9/1/1988,是,否,370000,山东省,370600,烟台市,地级市（区）,,,学校,37008,烟台大学,,干修班,,学员,正处,学校,本科,8
8,张秋波,9,8/1/1988,12/1/1989,否,否,370000,山东省,370600,烟台市,地级市（区）,,,政府_国务院,2604,经济贸易委员会,,,,副主任,正处,无,本科,9
8,张秋波,10,8/1/1989,12/1/1989,否,否,370000,山东省,370600,烟台市,地级市（区）,,招远市,党委,1300,党委常委会/政治局 ,,,,挂职副书记,正处,无,本科,10
8,张秋波,11,12/1/1989,1/1/1993,否,否,370000,山东省,370600,烟台市,地级市（区）,,芝罘区,政府_国务院,2600,政府/国务院（综合）,,,,区长,正处,无,本科,11
8,张秋波,12,9/1/1992,7/1/1994,是,否,310000,上海市,,,,,,学校,31004,华东师范大学,,研究生课程班,国际政治与国际关系专业,学生,正处,学校,硕士,12
